device,rmean,length,model,error,std,srate,q75,q90
a650,4,2,0,0.24811300991240293,0.18407827658271952,0.9869109947643979,0.3600838943253397,0.5058726535651406
38b8,4,2,0,0.24614877886397593,0.18649660319221742,0.743455497382199,0.3517658005491229,0.5074044855520089
14df,4,2,0,0.21857909880944287,0.17417296046633313,0.9947643979057592,0.31076801361669537,0.45287569751291035
d884,4,2,0,0.2350434711044711,0.1829535039323077,0.9973821989528796,0.34016789593137525,0.480797392721083
all,4,2,0,0.2385617892457347,0.18292259504084593,1.0,0.34427413384624106,0.48894675551697736
a650,5,2,0,0.23897707654334613,0.18190526077830577,0.9921465968586387,0.34338672312378904,0.48788933111842003
38b8,5,2,0,0.23811940556312666,0.1857911155235731,0.7486910994764397,0.3397714171378109,0.4946450864258334
14df,5,2,0,0.2177292581917464,0.1778904427640383,0.9973821989528796,0.3079436278698632,0.4556193845090232
d884,5,2,0,0.2360510169497421,0.1870378615244259,1.0,0.3326876638999194,0.4880222766227566
all,5,2,0,0.23558364483494715,0.18529267768747998,1.0,0.335875951725608,0.48769659658521125
a650,6,2,0,0.22844512972578862,0.18001986051060523,0.9947643979057592,0.32614594018321225,0.4738091221495717
38b8,6,2,0,0.24184962951165478,0.19198148569317408,0.7539267015706806,0.34610973182367266,0.5033840799243446
14df,6,2,0,0.21459592942843372,0.17235441669887608,1.0,0.3050082204986818,0.4449915594066215
d884,6,2,0,0.232165441206686,0.18717100013784307,0.9973821989528796,0.32536316558084144,0.4811764406367078
all,6,2,0,0.232975874208941,0.18454281061637473,1.0,0.3320510594779828,0.48090775526366714
a650,7,2,0,0.22592942353397721,0.17924862840320865,0.9973821989528796,0.3211576774566077,0.4671215140189786
38b8,7,2,0,0.24509345677114475,0.19877319223559148,0.7486910994764397,0.3440649600901586,0.51068358521227
14df,7,2,0,0.21421764218364533,0.17917575560819954,0.9973821989528796,0.29796837797384834,0.44237873123310584
d884,7,2,0,0.23219956269434275,0.18570932442488436,1.0,0.3317709498460506,0.481120851223271
all,7,2,0,0.23268047629462876,0.18914866171665992,1.0,0.3272420944790861,0.48491907633299486
a650,8,2,0,0.22165043005858232,0.17782065388266274,1.0,0.3127382489485676,0.462888138003506
38b8,8,2,0,0.23539654921387435,0.1947190031994221,0.7513089005235603,0.33018811713207696,0.4930877240269864
14df,8,2,0,0.21068733602142134,0.1791402448554059,0.9921465968586387,0.29084517075198113,0.4398404957818021
